solicitud,bc_score,icc,max_atr,mora_real,decil,nivel,prob,dataset,resultado
47193707,627.0,5.0,1,False,1,MUY ALTO,0.625,train,FP
47200912,545.0,6.0,157,True,1,MUY ALTO,0.625,train,TP
47192583,673.0,6.0,3,False,4,ALTO,0.3849,train,FP
47143047,626.0,5.0,56,True,3,ALTO,0.5065,train,TP
47156077,688.0,9.0,0,False,7,BAJO,0.2239,train,TN
47149264,606.0,4.0,0,False,1,MUY ALTO,0.625,train,FP
47142610,562.0,5.0,32,True,4,ALTO,0.3849,train,TP
47145927,543.0,5.0,0,False,4,ALTO,0.3849,train,FP
47200725,665.0,6.0,80,True,3,ALTO,0.4359,train,TP
47188256,607.0,3.0,53,True,1,MUY ALTO,0.625,train,TP
47204673,654.0,6.0,0,False,4,ALTO,0.3849,train,FP
47161608,628.0,3.0,76,True,3,ALTO,0.5065,train,TP
47194870,683.0,7.0,79,True,4,ALTO,0.3849,train,TP
47183966,609.0,3.0,79,True,2,MUY ALTO,0.5098,train,TP
47151318,659.0,5.0,56,True,3,ALTO,0.4359,train,TP
47171240,602.0,6.0,44,True,3,ALTO,0.4359,train,TP
47132840,604.0,6.0,72,True,4,ALTO,0.3849,train,TP
47132059,607.0,5.0,0,False,4,ALTO,0.3849,train,FP
47141116,652.0,5.0,2,False,1,MUY ALTO,0.625,train,FP
47168639,644.0,6.0,2,False,4,ALTO,0.3849,train,FP
47161871,536.0,3.0,70,True,1,MUY ALTO,0.625,train,TP
47157051,636.0,3.0,158,True,2,MUY ALTO,0.5882,train,TP
47201917,663.0,6.0,0,False,4,ALTO,0.3849,train,FP
47197054,659.0,4.0,8,False,4,ALTO,0.3849,train,FP
47195185,643.0,5.0,12,False,4,ALTO,0.3849,train,FP
47147282,707.0,8.0,0,False,4,ALTO,0.3849,train,FP
47205083,548.0,3.0,77,True,1,MUY ALTO,0.625,train,TP
47150156,544.0,7.0,68,True,4,ALTO,0.3849,train,TP
47199382,584.0,7.0,0,False,4,ALTO,0.3849,train,FP
47134145,649.0,4.0,129,True,4,ALTO,0.3849,train,TP
47196719,548.0,3.0,24,False,1,MUY ALTO,0.625,train,FP
